WKT,fid,OBJECTID,CODE,school_name,LEVEL,Status,County,DISTRICT,ZONE,SUB_COUNTY,Ward,Long,Lat,Source
MULTIPOINT ((249806.152120944 9857372.25022898)),1715,34802,200720587,RIRUTA DELIVERANCE CHURCH  ACADEMY,Primary,,NAIROBI WEST,,,,KAWANGWARE,36.751586,-1.289396,"Open Data Kenya, School 2007"
MULTIPOINT ((261695.742336785 9861852.41037904)),1716,34805,200720602,ST. BENEDICT'S PRI SCH,Primary,,NAIROBI NORTH,,,,ROYSAMBU,36.858416,-1.248984,"Open Data Kenya, School 2007"
MULTIPOINT ((265828.052437986 9866068.94021345)),1717,34822,200720668,GOOD HOPE PRIMARY,Primary,,NAIROBI NORTH,,,,ZIMMERMAN,36.895565,-1.210892,"Open Data Kenya, School 2007"
MULTIPOINT ((267985.20604185 9858875.57712344)),1718,34832,200720703,THAWABU PRI SCH,Primary,,NAIROBI SOUTH,,,,KAYOLE CENTRAL,36.914891,-1.275944,"Open Data Kenya, School 2007"
MULTIPOINT ((249234.108005334 9859668.2580877)),1719,34834,200720707,MARGA EDUCATION CENTRE,Primary,,NAIROBI WEST,,,,KANGEMI,36.746466,-1.268635,"Open Data Kenya, School 2007"
MULTIPOINT ((264122.770531287 9860882.58746011)),1720,34842,200720750,BRIGHT ANJELS ACADEMY PRI,Primary,,NAIROBI NORTH,,,,KIAMAIKO,36.88021,-1.25777,"Open Data Kenya, School 2007"
MULTIPOINT ((253475.436107256 9854832.89815388)),1721,34844,200720758,CANA JUNOIR ACADEMY PRI,Primary,,NAIROBI WEST,,,,MAKINA,36.784524,-1.312382,"Open Data Kenya, School 2007"
MULTIPOINT ((252703.228527359 9854358.11957142)),1722,34852,200720792,BETHSAIDA ACADEMY PRI,Primary,,NAIROBI WEST,,,,SARANGOMBE,36.777584,-1.316668,"Open Data Kenya, School 2007"
MULTIPOINT ((257602.1079857 9860226.60201433)),1723,34874,200720857,AGA KHAN JUNIOR ACADEMY,Primary,,NAIROBI NORTH,,,,PARKLANDS/HIGHRIDGE,36.821633,-1.263652,"Open Data Kenya, School 2007"
MULTIPOINT ((267386.624914818 9858332.46452422)),1724,34894,200720954,ST. VERONICA COMMUNITY CENTRE- PRI,Primary,,NAIROBI SOUTH,,,,KAYOLE SOUTH,36.90951,-1.28085,"Open Data Kenya, School 2007"
MULTIPOINT ((264234.960851984 9861325.65845354)),1725,34921,200721057,PCEA KARIOBANGI NORTH ACADEMY - PRI,Primary,,NAIROBI NORTH,,,,KARIOBANGI NORTH,36.881221,-1.253765,"Open Data Kenya, School 2007"
MULTIPOINT ((254759.055004111 9856877.2757918)),1726,34927,200721087,ST JOSEPH ECUMENICAL SCH PRI,Primary,,NAIROBI WEST,,,,KILIMANI,36.79607,-1.29391,"Open Data Kenya, School 2007"
